마폭시	29
만마드	75
만타인	41
맘모꾸리	106
맘박쥐	89
맘복치	43
망나뇽	113
망키	81
매시붕	54
머드나기	75
먹고자	62
메가가디안	87
메가강철톤	98
메가갸라도스	35
메가거북왕	31
메가깜까미	110
메가나무킹	15
메가눈설왕	17
메가니움	14
메가다부니	64
메가폭타	27
메가프테라	94
메가피죤투	55
메가한카리아스	115
메가핫삼	47
메가헤라크로스	48
메가헬가	109
메가후딘	85
메깅	39
메꾸리	106
메더	74
메로엣타(보이스폼)	65
메로엣타(스텝폼)	65
메리프	76
메이클	20
메타그로스	99
메타몽	56
메탕	99
메탕구	99
메테노(빨간색 코어)	98
메가눈설왕	17
메가니움	14
메가다부니	64
메가다크펫	102
메가대짱이	37
메가독침붕	47
메가디안시	97
메가라티오스	114
메가라티아스	114
메가레쿠쟈	114
메가루카리오	83
메가리자몽X	23
메가리자몽Y	23
메가마기라스	94
메가메타그로스	99
메가뮤츠X	86
메가뮤츠Y	86
메가번치코	26
메가보만다	113
메가보스로라	99
메가쁘사이저	47
메가샤크니아	38
메가썬더볼트	77
메테노(유성의 모습)	98
멜리시	97
모노두	112
모다피	13
모단단게	84
모래꿍	104
모래두지	71
모래두지(알로라의 모습)	105
모래성이당	104
모부기	16
모아머	51
모크나이퍼	21
목도리키텔	80
몬냥이	62
몰드류	74
몽나	89
몽얌나	89
무스틈니	17
무우마	102
무우마직	102
메가썬더볼트	77
메가앱솔	110
메가야도란	33
메가얼음귀신	106
메가엘레이드	87
메가요가램	82
메가이상해꽃	12
메가이어롭	61
메가입치트	99
메가자리	48
메가전룡	77
메가캥카	56
메가파비코리	113
메가팬텀	102
무우마직	102
무장조	98
물거미	45
물짱이	37
뮤	86
뮤츠	86
미꾸리	39
미끄네일	117
미끄래곤	117
미끄메라	117
미뇽	113
미라몽	103
밀로틱	39
밀탱크	58
바닐리치	107
바닐프티	107
바라철록	64
바랜드	63
바리톱스	95
바오키	28
바오프	28
발바로	59
발챙이	32
밤선인	16
방패톱스	95
배루키	81
배바닐라	107
배쓰나이	43
버랜지나	111
버섯꼬	15
버섯모	15
버터플	46
블루	119
비구술	49
비나방	49
비리디온	19
비버니	61
비버통	61
비브라바	73
비비용	53
비조도	83
비조푸	83
비퀸	51
비크티니	89
빈티나	39
빼미스로우	20
뽀록나	19
뽀뽀라	106
뿔충이	46
뿔카노	72
쁘사이저	47
버섯모	15
버터플	46
버프론	64
번치코	26
벌차이	111
베이리프	14
벰크	90
별가사리	34
보르그	63
보르쥐	63
보만다	113
보송송	76
보스로라	99
볼비트	50
볼케니온	30
볼트로스(영물폼)	79
볼트로스(화신폼)	79
부란다	84
부스터	24
부우부	57
분떠도리	53
분이벌레	53
분홍장이	39
뿔충이	46
뿔카노	72
쁘사이저	47
삐	118
삐딱구리	70
삐삐	118
사랑동이	40
사철록	64
삼삼드래	112
샤로다	18
샤미드	35
샤비	18
샤크니아	38
샤프니아	38
샹델라	104
선인왕	16
성원숭	81
세꿀버리	51
세레비	87
세비퍼	69
셀러	33
소곤룡	59
소미안	18
분홍장이	39
불꽃숭이	27
불비달마	28
불카모스	52
불켜미	104
불화살빈	29
붐볼	75
뷰티플라이	49
브리가론	20
브이젤	41
브케인	25
블래키	109
블레이범	25
블로스터	44
소미안	18
솔가레오	92
솔록	95
솜솜코	14
수댕이	42
수레기	70
수리둥보	64
수풀부기	16
쉐이미(랜드폼)	18
쉐이미(스카이폼)	18
쉘곤	113
슈륙챙이	32
슈바르고	52
슈쁘	120
스라크	47
스완나	43
스왈로	59
스이쿤	37
스컹뿡	70
스컹탱크	70
스콜피	70
슬리퍼	85
슬리프	85
시드라	34
시라소몬	81
시라칸	40
시마사리	71
식스테일	23
식스테일(알로라의 모습)	105
신뇽	113
실버디	67
실쿤	49
심보러	90
암나이트	93
암멍이	97
암스타	93
암트르	96
암팰리스	51
앗차키	42
앗차프	42
애버라스	94
액스라이즈	115
액슨도	115
앤테이	26
앤티골	28
앱솔	110
야나키	18
야나프	18
야느와르몽	103
야도뇽	71
야도란	33
실버디	67
실쿤	49
심보러	90
쌍검자비	42
쌍검킬	101
쌔비냥	111
썬더	76
썬더라이	77
썬더볼트	77
쏘드라	34
쏘콘	48
씨레오	107
씨카이저	107
아공이	113
아그놈	89
아노딥스	95
아라리	13
아르세우스	63
아르코	12
아리아도스	48
아마루르가	97
아마루스	97
아말도	95
야도란	33
야도킹	33
야돈	33
야부엉	57
약어리(군집의 모습)	45
약어리(단독의 모습)	45
어니부기	31
어둠대신	102
어지리더	52
어흥염	30
얼루기	60
얼음귀신	106
에나비	60
에레브	77
에레키드	77
에레키블	77
에리본	53
에몽가	79
에브이	85
에블리	53
에이팜	57
엘레이드	87
아마루스	97
아말도	95
아보	68
아보크	68
아이스크	49
아이앤트	52
아차모	26
아케오스	96
아켄	96
아쿠스타	34
악비르	74
악비아르	74
악식킹	112
안농	86
알통몬	81
엘레이드	87
엘리게이	35
엘풍	18
엠라이트	89
엠페르트	40
연꽃몬	38
염뉴트	71
염무왕	28
영구스	66
영치코	26
오기지게	84
오뚝군	73
오케이징	112
완철포	44
왕구리	32
