가디	24
가디안	87
가보리	99
가이오가	40
가재군	39
가재장군	39
갈모매	38
갑주무사	54
강챙이	32
강철톤	98
개구마르	44
개굴닌자	44
개굴반장	44
개무소	49
갱도라	99
갸라도스	35
거대코뿌리	72
거북손데스	96
거북손손	96
거북왕	31
게노세크트	52
게을로	59
게을킹	59
겟핸보숭	57
견고라스	97
고고트	20
고디모아젤	90
고디보미	90
고디탱	90
고라파덕	32
고래왕	39
고래왕자	39
고오스	102
고우스트	102
고지	71
고지(알로라의 모습)	105
곤율거니	111
곤율랭	111
골덕	32
골루그	74
골뱃	68
골비람	74
괴력몬	81
구구	54
귀뚤뚜기	50
귀뚤톡크	50
그라에나	110
그란돈	73
그랑블루	119
근육몬	81
글라이거	72
글라이온	72
글레이시아	107
기가이어스	96
기기기어르	100
기기어르	100
기라티나(어나더폼)	103
기라티나(오리진폼)	103
기어르	100
깜까미	110
깜놀버슬	19
깜눈크	74
깜지곰	58
깝질무	41
깨봉이	70
깨비드릴조	55
깨비물거미	45
깨비참	55
껍질몬	49
꼬렛	55
꼬렛(알로라의 모습)	108
꼬리선	57
꼬링크	78
꼬마돌	93
꼬마돌(알로라의 모습)	93
꼬몽울	16
꼬부기	31
꼬시레	54
꼬지모	96
꼬지보리	43
꼬지지	96
꼴깍몬	69
꽁어름	108
꾸꾸리	106
꿀꺽몬	69
나루림	120
나룸퍼프	120
나메일	50
나목령	104
나몰빼미	20
나무돌이	15
나무지기	15
나무킹	15
나시	13
나시(알로라의 모습)	13
나옹	55
나옹(알로라의 모습)	108
나옹마	62
나인테일	23
나인테일(알로라의 모습)	105
날쌩마	24
내던숭이	84
내루미	56
내룸벨트	56
냄새꼬	12
냐스퍼	91
냐오닉스	91
냐오불	30
냐오히트	30
너트령	19
네오라이트	41
네오비트	50
네이티	86
네이티오	86
네크로즈마	92
노고치	58
노공룡	59
노라키	58
노보청	82
누리공	45
누리레느	45
누오	36
눈꼬마	106
눈설왕	17
눈쓰개	17
눈여아	106
늑골라	43
늪짱이	37
니드런♀	68
니드런♂	68
니드리나	68
니드리노	68
니드퀸	68
니드킹	68
니로우	109
님피아	120
다꼬리	57
다부니	64
다크라이	110
다크펫	102
다탱구	15
닥트리오	71
닥트리오(알로라의 모습)	71
단굴	96
단단지	48
단데기	46
단칼빙	101
달막화	28
달무리나	22
달코퀸	22
달콤아	22
대검귀	42
대굴레오	107
대로트	104
대짱이	37
대코파스	94
대포무노	37
더스트나	70
더시마사리	71
던지미	83
덩쿠리	13
덩쿠림보	13
데구리	93
데구리(알로라의 모습)	93
데기라스	94
데덴네	80
데스니칸	103
데스마스	103
델빌	109
델케티	60
도나리	47
도롱마담(모래땅도롱)	50
도롱마담(슈레도롱)	50
도롱마담(초목도롱)	50
도롱충이	50
도치마론	20
도치보구	20
도토링	15
독개굴	70
독침붕	46
독케일	49
독파리	32
돈크로우	109
돌살이	51
동미러	100
동챙이	42
동탁군	100
두개도스	95
두까비	42
두더류	74
두두	55
두르보	51
두르쿤	51
두빅굴	42
두코	14
두트리오	55
둔타	26
둥실라이드	103
듀란	90
드래캄	70
드래피온	70
드레디어	19
디그다	71
디그다(알로라의 모습)	71
디아루가	100
디안시	97
디헤드	112
딜리버드	106
딥상어동	115
따라큐	105
딱구리	93
딱구리(알로라의 모습)	93
딱정곤	52
딱충이	46
또가스	69
또도가스	69
또르박쥐	89
뚜꾸리	28
뚜벅쵸	12
라란티스	21
라이츄	76
라이츄(알로라의 모습)	76
라이코	77
라티아스	114
라티오스	114
라프라스	35
라플레시아	12
란쿨루스	90
랄토스	87
랑딸랑	88
랜드로스(영물폼)	74
랜드로스(화신폼)	74
랜턴	36
램펄드	95
램프라	104
럭시오	78
럭키	62
레디바	48
레디안	48
레시라무	115
레어코일	75
레오꼬	29
레지기가스	62
레지락	95
레지스틸	100
레지아이스	107
레쿠쟈	114
레트라	55
레트라(알로라의 모습)	108
레파르다스	111
렌트라	78
로젤리아	16
로즈레이드	16
로토무	78
로토무(스핀로토무)	78
로토무(워시로토무)	78
로토무(커트로토무)	78
로토무(프로스트로토무)	78
로토무(히트로토무)	78
로토스	38
로파파	38
롱스톤	93
루가루암(한낮의 모습)	97
루가루암(한밤중의 모습)	97
루기아	86
루나아라	92
루나톤	94
루리리	59
루브도	58
루주라	106
루차불	84
루카리오	83
리그레	90
리아코	35
리오르	83
리자드	23
리자몽	23
리피아	17
릴리요	95
릴링	95
링곰	58
마그마	25
마그마그	25
마그마번	25
마그비	25
마그카르고	25
마그케인	25
마기라스	94
마기아나	101
마나피	42
마디네	51
마라카치	19
마릴	36
마릴리	36
마샤도	6
마셰이드	21
마이농	77
마임맨	88
마자	88
마자용	88
마크탕	82
